질병명,식사요법의 필요성,식사요법의 실제,권장 식품,주의 식품,그 외 주의사항
변비식,충분한 섬유소와 수분섭취로 변비를 예방합니다.,"1. 규칙적으로 식사합니다.2. 도정되지 않은 전곡류의 섭취를 늘립니다.3. 채소, 해조류를 충분히 섭취합니다.4. 통조림, 주스보다 생과일 섭취를 늘립니다.5. 섬유소의 효과적 흡수를 위해 하루 6-8잔 정도의 물을 충분히 마십니다.6. 우유 및 발효 유제품을 섭취합니다.","보리, 현미 등의 잡곡류, 고구마, 통밀빵, 모든 채소, 말린 나물류, 생과일, 미역, 김, 다시마, 건자두(푸룬), 발효유 등","감, 쑥 등 탄닌이 많은 식품",1. 섬유소 섭취가 갑자기 증가하면 위장장애를 일으킬 수 있기 때문에 소량씩 점진적으로 증가시키도록 합니다.2. 하루 25~50g정도의 섬유소 섭취량이 적절합니다.
바이러스성 간염식,"충분한 에너지와 단백질을 공급하여 영양 상태를 개선하고 손상된 간세포를 재생시켜 간혈류를 개선, 간기능을 회복시킵니다.","1. 회복을 위해 충분한 에너지 섭취가 필요하므로 당질과 지방을 통해 에너지 섭취를 늘립니다. 식사량이 적을 시에는 감자, 고구마 , 과일, 주스 등의 간식을 자주 먹습니다.2. 고기, 생선, 두부, 계란 등의 단백질 반찬을 충분하게 먹습니다.3. 부족한 비타민 및 무기질 보충을 위해 채소와 과일을 충분하게 먹습니다.","밥, 떡, 감자, 고구마, 과일, 야채, 단백질 식품( 살코기, 생선, 계란, 두부, 콩 등 )",,녹즙 등 고농축 음식이나 민간요법은 간기능을 약화 시킬 수 있으므로 주의합니다.
말기신질환식,"신장기능이 떨어지면 노폐물 제거와 전해질 균형이 제대로 이루어지지 않기 때분에 섭취하는 음식의 종류와 양을 조절할 필요가 있습니다.  좋은 영양상태를 유지하는 것이 목표이므로 체조직의 분해를 예방하기 위한 충분한 열량 섭취와 요독증을 줄이기 위한 적절한 단백질 섭취가 필수입니다.  또한 부종과 고혈압 조절을 위한 염분제한이 필요하며, 전해질 불균형이 악화되는 것을 막기 위해 포타슘, 인 섭취 조절이 필요할 수도 있습니다.",1. 단백질 섭취를 제한합니다.2. 충분한 열량을 섭취합니다.3. 싱겁게 먹습니다.4. 포타슘(칼륨)섭취를 줄입니다.5. 인 섭취를 줄입니다.,"1. 단백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리 시 올리브유, 들기름, 카놀라유 등의 기름과 설탕, 올리고당 등 당류를 충분히 사용할 것을 권장합니다.2. 싱겁게 드셔야 하므로, 소금, 간장, 된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용합니다.3. 외식 시는 염분 조절이 어렵지만 스스로 소스나 양념양을 조절할 수 있는 비빔밥, 덮밥 등을 권장하고 가급적 국물, 소스, 김치 섭취를 줄입니다.","1. 염분이 과다한 식품 : 염장식품(장아찌, 젓갈), 김치, 라면, 건어물, 찌개국물 등2. 인이 과다한 식품 : 우유, 요구르트, 치즈, 잡곡, 견과류 등3. 포타슘이 과다한 식품 : 현미, 흑미, 팥등의 잡곡, 시금치, 늙은 호박, 미나리, 시래기, 바나나, 토마토, 키위, 참외 등",1. 단백질 섭취를 줄이는게 도움이 되지만 너무 줄이면 체조직이 분해되어 좋지 않으므로 전문가의 처방에 따라 적절한 단백질(식품)을 섭취합니다.2. 식사양이 줄어 열량 섭취가 줄면 체조직이 분해되어 체중이 감소하고 노폐물이 쌓이게 되므로 밥 1공기 정도의 충분한 식사량을 유지합니다.
만성피로증후군식,"피로를 유발하는 원인 질환을 정확히 파악하고, 피로에 대한 기능적, 정서적인 적절한 대처와 균형잡힌 영양공급이 요구됩니다.",1. 균형잡힌 식사를 합니다.2. 비타민과 미네랄이 풍부한 과일과 야채를 충분히 섭취합니다.3. 과식은 피하고 규칙적으로 식사합니다.4. 적절한 체중을 유지합니다.,"신선한과일, 야채,저지방 고단백식품(두부,살코기, 흰살생선등)복합탄수화물(밥, 빵, 떡, 감자,고구마등)","카페인, 니코틴, 알코올, 설탕, 아스파탐",1. 특정 음식에 대한 과민 반응이 있을 경우 제한 합니다.2. 규칙적인 운동을 합니다.3. 충분한 수면을 취합니다.
만성폐쇄성폐질환식,정상체중을 유지하고 체중감소를 방지하기 위한 적절한 식사량을 유지함으로써 호흡근육의 소모를 막고 적절한 영양상태를 유지하는 것이 중요합니다.,"1. 식품 섭취를 골고루 합니다.2. 매끼니 살코기나 생선, 두부, 계란 등을 챙겨서 섭취합니다.3. 식사를 소량씩 나누어 천천히 식사하도록 합니다.4. 식사 중간에 국물이나 수분 섭취는 과다하게 하지 않도록 합니다.5. 지나치게 기름지거나 가스를 형성하는 식품의 섭취는 삼가합니다.","기름기를 제거한 살코기, 생선, 껍질 벗긴 과일","가스형성식품 : 탄산음료, 함황채소(브로커리, 양배추)기름진 식품 : 튀김류",1. 식사 전 30분간은 휴식합니다.2. 식사 중 피로감이 유발되면 잘게 자르거나 갈아서 섭취하도록 합니다.
만성신부전식,"신장기능이 떨어지면 노폐물 제거와 전해질 균형이 제대로 이루어지지 않기 때분에 섭취하는 음식의 종류와 양을 조절할 필요가 있습니다.  좋은 영양상태를 유지하는 것이 목표이므로 체조직의 분해를 예방하기 위한 충분한 열량 섭취와 요독증을 줄이기 위한 적절한 단백질 섭취가 필수입니다.  또한 부종과 고혈압 조절을 위한 염분제한이 필요하며, 전해질 불균형이 악화되는 것을 막기 위해 포타슘, 인 섭취 조절이 필요할 수도 있습니다.",1. 단백질 섭취를 제한합니다.2. 충분한 열량을 섭취합니다.3. 염분 섭취를 줄입니다.4. 포타슘(칼륨)섭취를 줄입니다.5. 인 섭취를 줄입니다.,"1. 단백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리 시 올리브, 참기름, 설탕을 충분히 사용할 것을 권장합니다.2. 싱겁게 드셔야 하므로, 소금/간장/된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용해보십시오.3. 외식 시는 염분 조절이 어렵지만 스스로 소스나 양념양을 조절할 수 있는 비빔밥, 덮밥 등을 권장하고 가급적 국물, 소스, 김치 섭취를 줄입니다.","1. 염분이 과다한 식품; 염장식품(장아찌, 젓갈), 김치, 라면, 건어물, 찌개국물 등2. 인이 과다한 식품; 우유, 요구르트, 치즈, 잡곡, 견과류 등3. 포타슘이 과다한 식품; 현미, 흑미, 팥등의 잡곡, 시금치, 늙은 호박, 미나리, 바나나, 토마토 등",1. 단백질 섭취를 줄이는게 도움이 되지만 너무 줄이면 체조직이 분해되어 좋지 않으므로 처방에 따라 적절한 단백질(식품)을 섭취합니다.2. 식사양이 줄어 열량 섭취가 줄면 체조직이 분해되어 체중이 감소하고 노페물이 쌓이게 되므로 밥 1공기정도의 충분한 식사량을 유지합니다.
만성담낭염식,"고지방음식 섭취 후에 발생하는 복부팽만, 소화불량, 통증 등 증상을 예방하고, 손실된 영양을 보충하기 위해 적절한 식사요법이 필요합니다.","1. 저지방 육류, 저지방 생선을 선택합니다.2. 튀김, 볶음, 전류 등 고지방 조리법을 피하고 조림, 찜, 굽기 등의 조리법을 사용합니다.3. 복부팽만을 초래하는 식품을 피합니다.4. 소화가 잘 되는 식품을 선택합니다.","식빵, 쇠고기, 돼지고기 살코기, 껍질벗긴 닭고기, 가자미, 새우, 두부, 저지방 우유, 신선한 과일 등","도너츠, 패스츄리, 갈비, 삼겹살, 소꼬리, 햄, 장어, 치즈, 아이스크림, 후렌치 드레싱 등","지나친 지방 제한은 불필요하며, 필수지방산 섭취를 위하여 소량의 식물성 기름을 사용합니다."
만성 췌장염식,체중감소를 최소화하고 내분비 기능 저하에 의해 발생할 수 있는 당뇨를 예방 또는 관리하기 위해 식사요법이 필요합니다.,"1. 반드시 금주합니다.2. 식사량을 소량씩 천천히 증가시키며 과식하지 않습니다.3. 지방변이 있는 경우 지방의 섭취를 줄입니다.4. 지방이 적고 부드러운 부위의 육류, 흰살 생선, 닭가슴살, 달걀 등의 단백질 식품을 섭취합니다.5. 자극성이 강한 향신료, 조미료, 카페인 등을 제한합니다.","기름기 적은 살코기(돼지고기, 소고기), 닭고기(껍질 제거), 생선, 두부, 각종 야채 등","도넛, 볶음밥, 라면, 케잌, 페스츄리, 갈비, 삼겹살, 기름이 많은 등심, 안심, 생선통조림, 장어, 튀김류, 전류 등","음주, 흡연은 췌장효소의 분비를 촉진시켜 췌장을 자극하므로 삼가도록 합니다.필요시 MCT 기름을 사용합니다."
덤핑증후군식,덤핑증후군은 부분적 또는 전체적 위 절제수술이나 유문괄약근 제거 수술 후의 합병증으로 나타납니다. 따라서 위 수술 후 영양적으으로 적합한 식사를 환자에게 공급하고 덤핑증후군의 증상을 완화시키기 위해 식사조절이 필요합니다.,1. 소량씩 자주 섭취합니다.2. 모든 음식은 충분히 씹고 천천히 삼킵니다.3. 단당류는 삼투효과가 높으므로 단당류가 많은 음식의 과잉섭취는 피합니다.4. 지방은 소화가 되는 범위내에서 식사에 적절히 포함시키도록 합니다.5. 물이나 음료수 등은 식사 중에는 섭취를 피하고 식간에 섭취하도록 합니다.6. 식사 후 15~30분 간은 비스듬히 누운 자세를 취하여 위장의 음식물 통과를 늦추도록 합니다.,"소화되기 쉬운 부드러운 식품, 기름기가 적은 살코기, 생선 등의 양질의 단백질 식품, 달지 않은 식품","사탕, 설탕, 꿀, 젤리 등의 단당류, 통조림, 아이스크림, 과량의 탄산음료, 기름진 고기, 기름진 국물류, 향신료",수술 후 일부 환자에게서는 유당불내성이 나타나므로 초기에는 우유 및 유제품을 제한하다가 점차로 조금씩 양을 증가시키도록 합니다.
식도정맥류식,"출혈 부위에 자극을 줄이기 위해  식사요법이 필요하며, 식도에 자극이 적은 음식으로 시작, 출혈로 인해 부족한 영양소를 적절하게 공급합니다.","1. 출혈 호전 시까지 금식하며, 이후 미음형태로 소화적응도를 확인합니다.2. 죽과 밥으로 진행하면서 반찬은 부드러운 것을 위주로 먹고, 자극적인 음식 섭취는 피합니다.(매운 양념, 거친 음식, 카페인 및 탄산 음료 등)3. 충분한 단백질 공급을 위해 고기, 생선, 두부, 계란 등 골고루 섭취합니다.4. 부족한 비타민 및 무기질 보충을 위해 부드러운 채소와 과일을 충분하게 먹습니다.5. 부드러운 음식의 적응도 양호시 일반적인 음식으로 섭취하도록 합니다. 단, 반복적인 출혈이 있을시에는 자극이 적은 식품위주로의 섭취를 유지합니다.","밥, 감자, 고구마, 떡 등의 부드러운 곡류 식품, 양질의 단백질 식품( 살코기, 생선, 두부, 계란 , 콩 등),채소, 과일","거친 마른 음식(멸치, 마른오징어, 강정 등), 매운 양념, 카페인 및 탄산 음료,  술 등",식도에 자극적인 약물은 피하는 것이 좋습니다.
식도염식,위산의 식도 역류를 감소시키고 위산분비를 억제하여 식도자극을 줄이도록 하며 하부식도조임근의 압력을 낮추는 식품의 섭취를 제한하여 증상이 완화하도록 합니다.,1. 단백질이 풍부하고 지방은 적게 섭취합니다.2. 과식을 하거나 자극적인 음식은 피합니다.3. 비만인 경우에는 체중 감량을 계획합니다.4. 소량씩 여러번 나누어 먹도록 합니다.,"저지방 고단백식품(두부,살코기, 흰살 생선 등)탄수화물 식품(밥, 빵, 크래커, 국수, 감자 등)","탄산음료, 커피, 강한 향신료, 토마토, 오렌지주스, 매우 뜨겁거나 차가운 음식, 알코올, 쵸코렛, 기름진 음식, 가스형성 식품","1. 너무 꽉 조이는 의복은 피합니다.2. 취침 전 음식 섭취, 식후 바로 눕는 행동을 금합니다.3. 금주, 금연 합니다."
식도암식,"식도암 위험인자를 줄여 예방하고 진단 이후에는 체력유지를 위한 충분한 영양섭취를 위해 식사요법이 필요합니다.식도암의 치료는 식도암의 병기나 종류에 따라 다르며 크게 수술적 치료, 항암치료, 방사선 치료 등이 사용된됩니다. 따라서 각 치료방법을 이해하고 치료에 따르는 부작용으로 인한 영양문제의 대처방법을 숙지하여 영양불량이 되지 않도록 합니다.","식도암 환자 영양관리의 원칙은 균형있는 영양섭취를 통해 신체 회복을 돕고, 치료과정에 수반되는 부작용을 최소화하는 것입니다. 이를 위해 규칙적으로 식사하고 에너지, 무기질, 비타민 등 신체 활동에 필요한 영양소를 골고루 섭취하기 위해 균형잡힌 식사를 합니다.1. 곡류, 어육류, 채소, 과일, 우유, 유지류 등 여러가지 식품을 골고루 섭취하며 편식하지 않도록 합니다.2. 정상체중을 유지할수 있도록 식사 및 간식량을 조절합니다.3. 영양불량이 되지않도록, 질좋은 단백질 식품(고기,생선,두부,계란 등..)을 끼마다 적당량 섭취합니다.4. 한끼 식사량이 많지 않을 경우 간식으로 보충합니다.5. 지나치게 짠 음식, 염장식품 섭취는 피합니다.6. 특정식품을 가리지 않으며, 환자의 기호를 존중하여 식품을 선택합니다.7. 금주합니다.8. 규칙적으로 운동하며 마음을 편하게 갖습니다.","잡곡, 견과류, 콩류, 생선류, 요쿠르트, 파프리카, 당근, 가지, 버섯, 토마토와 같이 다양한 색을 지닌 채소 및 과일류","술, 가공식품, 젓갈과 장아찌와 같은 염장식품, 짜고 뜨거운음식",금연을 합니다. 식사 시 또는 직후 바로 눕지 않습니다.
소화불량식,"기질적인 원인 없이 상복부의 통증 혹은 불쾌감, 구토, 속쓰림이 만성적이거나 반복적으로 발생되는 질환을 기능성 소화불량증으로 정의할 수 있으며 일반적인 치료법으로 식습관과 연관이 있는 요인을 교정하기 위해 식사요법이 필요합니다.","1. 하루 규칙적으로 정해진 시간에 식사를 합니다.2. 과식을 피하고 일회 식사 분량을 적게 하고 하루에 4~5회로 식사 횟수를 늘립니다.3. 식사는 편안하게, 잘 씹어서 천천히 합니다4. 기름기가 많은 튀김류의 섭취를 제한합니다.5. 섬유질이 연하고 부드러운 채소를 선택하여 섭취합니다.6. 즐겁고 맛있게 먹습니다.","1. 기름기가 적은 흰살 생선2. 섬유질이 연한 채소(시금치, 무우, 근대, 당근, 애호박 등)","1. 카페인, 알코올, 탄산음료, 자극성이 강한 조미료.2. 건조식품(육포, 말린 과일, 말린 채소 등)3. 튀긴음식","직화구이, 튀기기, 볶기 등의 조리법은 되도록 피합니다.주로 찌기, 데치기, 끓이기, 삶기 등의 조리법을 이용해 부드럽게 조리합니다."
셀리악병식,셀리악병으로 인한 임상적 증상을 완화시키고 흡수기능을 정상화하며 점막내 융모를 재생시키기 위해 식사요법이 필요합니다.,"글루텐이 함유된 식품의 섭취를 중단합니다. 흡수 불량이 있는 경우에는 비타민, 무기질의 보충이 필요하나 흡수 기능이 정상화되면 보충을 중단합니다. 체중 감소를 예방하기 위해 고칼로리, 고단백식이가 권장됩니다.","쌀, 감자, 콩가루, 옥수수, 고기, 달걀, 모든 채소, 모든 과일, 식물성기름, 버터, 저지방유 등","글루텐 함유식품(밀, 귀리, 호밀, 보리),식품 성분표에 곡분, 유화제, 전분, 안정제, 향료, 맥아, 밀의 눈, 밀가루, 조, 가수분해한 채소 단백질 및 글루텐 함유식품이 언급되어 있는 시판제품","유당불내성이 있는 경우에는 우유 및 유제품을 피하며, 과당흡수장애일 경우 과당함량이 높은 음식을 제한하고, 설탕불내성일 경우 설탕을 제한하나 정상화 되면 제한하지 않습니다."
섭식장애식,"폭식과 구토, 소식 등으로 전반적인 영양 섭취가 부족하여 영양 상태가 불량한 상황이므로 적정 체중을 유지하기 위해 음식을 균형적으로 섭취하고 잘못된 섭식 행동을 수정해야합니다.","1. 폭식이나 구토를 하지 않고 먹을 수 있도록 지속적으로 노력합니다.2. 건강을 위한 적정 체중에 대한 인식을 새롭게 하며, 이에 도달하기 위한 체중 증가에 대해 긍정적인 생각을 갖도록 합니다.3. 평소 섭취량을 감안하여 식사를 하되 간식을 자주 섭취하여 섭취량을 늘립니다. 세끼 식사와 하루 3회 정도의 간식을 병행하며 식사량이 늘어남에 따라 간식 횟수를 조절합니다.4. 균형적인 음식 섭취를 해야하며 개인별로 폭식이나 구토를 하게되는 식품에 대해서는 섭취량을 조절합니다.5. 포만감 및 소화지연이 있는 식품 섭취는 줄입니다.","밥, 떡, 감자, 고구마, 과일, 야채, 단백질 식품( 살코기, 생선, 계란, 두부, 콩 등 )","기름진 가공품, 자극적인 음료",
산모식,출산 후 산모의 소모된 체조직을 점진적으로 정상화하고 수유에 필요한 영양소를 공급하기 위해 소화하기 쉽고 부드러운 음식으로 구성된 균형된 식사가 필요합니다.,"1. 성인여자는 하루에 2,000-2,200칼로리 정도 섭취하는 것이 적당한데 임신 중에는 하루에 300칼로리, 분만한 이후 수유 중에는 500칼로리가 더 필요합니다. 단, 수유를 하지 않는 산모의 경우는 별도의 열량 및 단백질을 보충할 필요는 없습니다.2. 매일 다양한 식품을 골고루 섭취합니다.3. 매끼 고기, 생선, 계란, 두부 등의 단백질 반찬을  1~2가지 챙겨 먹도록 합니다.4. 균형잡힌 다양한 식사와 함께 하루 2~3번의 간식을 섭취합니다.5. 다양한 채소류와 과일, 잡곡 등 비타민과 무기질이 풍부한 음식을 충분히 섭취합니다.6. 물, 과일, 채소주스, 우유 등으로 하루 2.5리터 정도의 충분한 수분을 섭취합니다.7. 자극적이지 않으며 소화되기 쉬운 부드러운 형태의 음식으로 섭취합니다.8. 튀김이나 볶음류보다 구이나 조림, 찜 등으로 부드럽게 조리합니다.9. 매운 맛이 강한 고추, 마늘, 고추가루, 향이 강한 향신료는 모유의 향과 맛에 영향을 줄 수 있으므로 피합니다.",소화하기 쉽고 부드러운 음식,"지방 함량이 높고 소화가 어려운 음식(튀김류, 갈비, 삼겹살, 닭껍질 부위 등)질기거나 딱딱한 음식(말린 오징어, 강정류 등)맵고 짜고 자극성이 강한 음식말린 과일(건포도, 대추, 곶감 등)가공식품","1. 철분제를 먹을 경우 엄마 젖에 철분 함유량이 증가하지 않고 엄마에게 변비가 올 수 있으므로 엄마에게 빈혈이 없는 경우에는 음식으로 섭취하는 것을 권장합니다.2. 산모나 가족 중 음식(계란, 우유나 유제품, 감귤류 등)에 알레르기가 있는 경우 아기에게도 알레르기 반응이 일어날 수 있으므로 주의합니다."
사구체신염식,"다양한 원인에 의해서 사구체에 염증반응이 일어나고 그에 따른 핍뇨, 단백뇨, 신기능 저하, 부종, 고혈압 등의 증상과 징후가 발생하는 질환으로, 음식이 원인은 아니나 단백뇨, 혈압조절을 위해 짜게 먹거나 단백질 섭취를 과다하게 하는 것을 피합니다.",1. 단백질 섭취를 제한합니다.2. 충분한 열량을 섭취합니다.3. 싱겁게 먹습니다.,"1. 고기, 생선, 두부, 계란 등 단백질이 많은 식품은 한 끼니당 1토막(40~60g)정도만 섭취합니다.2. 단백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리시 올리브유, 들기름, 카놀라유 등의 기름과 설탕, 올리고당 등 당류를 충분히 사용할 것을 권장합니다.3. 싱겁게 드셔야 하므로, 소금, 간장, 된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용해보십시오.4. 외식시는 염분 조절이 어렵지만 스스로 소스나 양념양을 조절할 수 있는 비빔밥, 덮밥등을 권장하고 가급적 국물, 소스, 김치 섭취를 줄입니다.","1. 염분이 과다한 식품; 염장식품(장아찌, 젓갈), 김치, 라면, 건어물, 찌개국물 등2. 단백질이 과다한 건강기능식품, 콩가루 등",1. 단백질 섭취를 줄이는게 도움이 되지만 너무 줄이면 체조직이 분해되어 좋지 않으므로 전문가의 처방에 따라 적절한 단백질(식품)을 섭취합니다.2. 식사양이 줄어 열량 섭취가 줄면 체조직이 분해되어 체중이 감소하므로 밥 1공기정도의 충분한 식사량을 유지합니다.3. 신선한 채소와 과일을 섭취합니다.
빈혈식,"철 결핍성 빈혈은 가장 흔하게 나타나는 빈혈로, 적혈구를 만드는 주요한 영양소인 철의 부족으로 헤모글로빈 합성이 저하되어 발생합니다. 성인의 하루 철 섭취권장량은 남자 10㎎, 여자 14㎎ 로 권고되고 있습니다.무엇보다 거의 모든 영양소가 혈액을 만드는데 필요하므로 골고루 균형있게 섭취하는 것이 매우 중요합니다.","1. 규칙적이고 다양한 식품섭취를 합니다.2. 스테로이드 사용 시 과다한 염분 섭취는 삼가합니다.3. 구강내 점막염이 발생한 경우 지나치게 차거나 뜨거운 음식, 향이 강한 식품, 신 음식, 거친 음식의 섭취는 삼가하도록 합니다.4. 매끼 살코기, 생선, 계란 등의 동물성 단백질을 규칙적으로 섭취합니다.5. 철분 흡수를 돕는 비타민C의 보충을 위해 과일이나 채소류를 규칙적으로 섭취합니다.6. 철의 흡수를 방해하는 커피, 홍차, 녹차 등은 식사 전후를 피해서 마시도록 합니다.","색이 짙은 살코기, 생선, 계란, 우유 및 유제품, 색이 짙은 채소, 과일","카페인 음료, 녹즙, 엑기스, 날 음식","조혈모세포이식 직후에는 멸균식(sterile diet)을 하도록 합니다.1. 동물성 식품은 반드시 익혀서 섭취합니다.2. 야채는 익혀서, 과일은 세정 후 껍질을 벗겨서 섭취합니다.3. 시판 제품 중 살균, 멸균 조리된 제품을 이용합니다.4. 조리된 식품은 2시간 이내에 냉장보관하며, 24시간내 먹도록 합니다.5. 조리 전, 식사 전에 손을 깨끗이 씻도록 합니다.6. 가공식품은 유통기한을 확인하도록 합니다."
복수식,간질환의 합병증으로  체내에 염분 및 수분 조절에 이상이 생겨 발생한 것이므로 염분 제한이 필요합니다.,"1. 균형적인 식사를 합니다. 복부 팽만감 및 소화불량으로 식사량이 적을 시에는 음식을 소량씩 자주 먹습니다.2. 염분(소금 및 장류)섭취를 하루 5g으로 줄인 저염식을 합니다.- 절임류, 염분 첨가된 국물류 등 염분이 많은 식품은 섭취하지 않습니다.- 염분 첨가 되지 않은 자연식품에 매끼 염분 1g(소금 1/2찻술)만 추가 사용하여 먹습니다.- 염분 외의 매운맛, 신맛, 단맛, 식물성 기름 등을 적절하게 사용합니다.",염분이 첨가되지 않은 자연식품,"절인음식( 김치, 젓갈, 장아찌, 자반류, 마른 반찬, 햄, 소시지 등), 국국물 등 염분 많은 음식",녹즙 등 고농축 음식이나 민간요법은 간기능을 약화시킬 수 있으므로 주의합니다.
요로결석식,결석의 생성을 최소화하고 배설을 촉진시키기 위해 식사의 조정이 필요합니다.?,충분한 수분을 섭취하여 소변을 희석시켜 결정물질의 용해와 배설을 촉진시키고 결정의 생성을 최소화하여야 합니다.?,"충분한 수분(시간당 250~300ml), 고섬유소 식품","수산함량이 높은 식품(생맥주, 차, 코코아, 견과류, 딸기류, 귤 등)",비타민 C 보충제는 요중 수산 배설을 증가시키므로 하루 1g 이하로 제한합니다.?
열량조절식,"비만은 제2형 당뇨병, 고지혈증, 인슐린저항성, 담낭질환, 수면무호흡, 관상동맥 질환, 고혈압, 골관절염, 대장암, 유방암, 난소암 등 여러가지 수많은 건강 상의 문제들을 야기하게 됩니다. 따라서 효과적인 체중감량을 위한 열량섭취 조절에 따른 식사요법이 병행되어야 합니다.","1. 개인의 건강, 생활 상황에 알맞은 섭취량을 결정합니다.2. 하루 세끼 규칙적인 식사와 정해진 간식을 섭취 합니다.3. 식사는 가능한 천천히 합니다.4. 튀김류, 부침류, 볶음류, 기름진 육류 섭취를 줄입니다.5. 당분이 과량 첨가된 음식(사탕, 탄산음료, 초콜릿, 케이크 등)은 피합니다.6. 신선한 채소와 해조류는 충분히 섭취합니다.7. 금주합니다.","채소류,  해조류, 곤약, 무가당 차음료(녹차 등), 물(보리차, 생수, 탄산수 등)","가공식품(라면, 과자, 쿠키, 도넛 등) , 패스트푸드(햄버거, 피자, 감자튀김 등) , 기름진 육류, 통조림 과일, 가당 우유 및 아이스크림, 당분이 첨가된 음료수, 견과류(땅콩, 호두, 잣 등), 주류(소주, 맥주, 막걸리 등)",1. 규칙적인 운동을 병행합니다.2. 행동수정 요법(자기관찰/자기조절)을 병행합니다.3. 초저열량식사는 부작용이 따르는 식사요법으로 전문가의 관찰과 통제 하에 실시합니다.4. 외식은 하루 한번 이상하지 않습니다.
알콜성간질환식,"과다한 음주로 인한 불균형적인 영양 섭취를 교정하고 회복을 위해 단백질, 비타민 및 무기질의 영양소를 충분히 공급합니다.","1. 금주 합니다.2. 금주 직후에는 회복에 필요한 충분한 에너지 공급을 위해 식사 외에도 간식을 자주 섭취합니다. 하지만 장기적으로는 건강한 체중 유지를 위한 식사를 하도록 합니다.3. 충분한 단백질 공급을 위해 고기, 생선, 두부, 계란 등 골고루 섭취합니다. 단, 간성혼수가 있을 시에는 단백질 섭취를 줄입니다.4. 부족한 비타민 및 무기질 보충을 위해 채소와 과일을 충분하게 먹습니다. 필요시 보충제를 섭취합니다.5. 복수 및 부종이 동반된 경우 저염식을 병행합니다.","밥, 감자, 고구마, 떡 등의 곡류 식품, 양질의 단백질 식품( 살코기, 생선, 두부, 계란 , 콩 등),채소, 과일",술,녹즙 등 고농축 음식이나 민간요법은 간기능을 약화 시킬수 있으므로 주의합니다.
알츠하이머식,"지적 능력의 감퇴와 우울증으로 인하여 식사 섭취량이 감소하는 반면에 행동의 변화로 에너지 소비량이 증가되어 체중감소와 탈수증의 위험이 높고 영양불량이 되기 싶습니다. 반면 말기 단계에 이르면 점차 활동량이 줄어들고 누워지내는 경우가 많아 욕창, 근육위축, 상처회복 지연 등의 문제가 빈발할 수 있어 세심한 영양관리가 필요합니다.","1. 초기단계에는 과식하거나 이물질을 삼키는 것에 주의합니다.2. 지나친 체중감소나 체중증가를 예방하고 정상체중을 유지합니다.3. 변비, 탈수를 예방하기 위해, 수분, 식사량조절에 주의하십시오.4. 식사시 환자 스스로 식사할 수 있도록 격려함으로써 기능적 독립성을 유지합니다.5. 입으로 먹을 수 없을 경우 관으로의 위관영양이 필요할 수 있습니다.(의료진과 상의 필요함.)6. 한번에 한가지 음식을 제공합니다.7. 수저를 제대로 사용할 수 없는 경우 손가락 음식을 이용합니다.","1. 삼킴 장애(곤란)가 심하고 씹지 못 할 때는 밥보다는 죽을 쑤어 블렌더로 곱게 갈아 꿀농도만큼 걸쭉하게 드시길 권장합니다.  반찬(고기, 생선살, 나물 등)도 익힌 후 죽을 함께 넣고 블렌더로 곱게 갈아 걸쭉하게 드실 수 있습니다. 사래가 자주 걸릴 경우는 물, 주스, 우유 등 액상 형태의 대부분의 식품은 '점도증진제(음식의 점도 조절용)'를 섞어서 섭취해 볼 수 있습니다.2. 수분섭취가 부족하지 않도록 물, 유제품, 과일등을 식간에 섭취합니다.3. 손가락으로 집을 수 있도록 음식의 크기를 적당히 잘라주십시오.","1. 삼킴곤란시 물, 주스, 우유 등 액체형태의 식품 섭취는 주의합니다.2. 비만시는 달고(주스, 음료, 사탕, 과자 등), 기름진 음식(튀김, 볶음, 전 등)은 피해봅니다.","1. 식사량을 증가시키고 기능적 독립성을 유지하기 위해서는 식탁에 너무 여러 음식을 차려놓지 말고, 한번에 한두가지 음식만 앞에 놓아두고, 손에 숟가락을 쥐게 하여 한술 떠서 입에 넣도록 도와줍니다.2. 손가락을 이용하여 집을 수 있는 음식을 이용하는 것도 도움이 됩니다.3. 서두르지 말고 천천히 식사하도록 도와줍니다."
